date,value
2018-06-27,433
2018-06-28,424
2018-06-29,566
2018-06-30,566
2018-07-01,465
2018-07-02,367
2018-07-03,394
2018-07-04,444
2018-07-05,462
2018-07-06,463
2018-07-07,588
2018-07-08,585
2018-07-09,385
2018-07-10,454
2018-07-11,469
2018-07-12,460
2018-07-13,449
2018-07-14,550
2018-07-15,478
2018-07-16,317
2018-07-17,451
2018-07-18,460
2018-07-19,461
2018-07-20,481
2018-07-21,547
2018-07-22,515
2018-07-23,333
2018-07-24,404
2018-07-25,394
2018-07-26,404
2018-07-27,449
2018-07-28,506
2018-07-29,502
2018-07-30,319
2018-07-31,369
2018-08-01,362
2018-08-02,356
2018-08-03,399
2018-08-04,402
2018-08-05,403
2018-08-06,261
2018-08-07,358
2018-08-08,376
2018-08-09,448
2018-08-10,376
2018-08-11,506
2018-08-12,471
2018-08-13,339
2018-08-14,392
2018-08-15,492
2018-08-16,394
2018-08-17,443
2018-08-18,496
2018-08-19,518
2018-08-20,346
2018-08-21,468
2018-08-22,416
2018-08-23,327
2018-08-24,457
2018-08-25,601
2018-08-26,501
2018-08-27,382
2018-08-28,392
2018-08-29,377
2018-08-30,435
2018-08-31,475
2018-09-01,525
2018-09-02,486
2018-09-03,348
2018-09-04,486
2018-09-05,458
2018-09-06,450
2018-09-07,481
2018-09-08,536
2018-09-09,474
2018-09-10,361
2018-09-11,344
2018-09-12,267
2018-09-13,275
2018-09-14,337
2018-09-15,359
2018-09-16,353
2018-09-17,224
2018-09-18,306
2018-09-19,323
2018-09-20,422
2018-09-21,500
2018-09-22,478
2018-09-23,405
2018-09-24,287
2018-09-25,307
2018-09-26,360
2018-09-27,371
2018-09-28,419
2018-09-29,471
2018-09-30,450
2018-10-01,363
2018-10-02,437
2018-10-03,503
2018-10-04,424
2018-10-05,397
2018-10-06,590
2018-10-07,475
2018-10-08,377
2018-10-09,499
2018-10-10,340
2018-10-11,420
2018-10-12,448
2018-10-13,494
2018-10-14,471
2018-10-15,338
2018-10-16,408
2018-10-17,415
2018-10-18,499
2018-10-19,473
2018-10-20,543
2018-10-21,487
2018-10-22,335
2018-10-23,429
2018-10-24,403
2018-10-25,355
2018-10-26,419
2018-10-27,524
2018-10-28,492
2018-10-29,351
2018-10-30,387
2018-10-31,395
2018-11-01,398
2018-11-02,443
